Gender,New,OCS1,OCS2,WRI1,WRI2,Logins_start-OCS1,Logins_OCS1-WRI1,Logins_WRI1-OCS2,Logins_OCS2-WRI2,ViewsForumPs_Start-OCS1,ViewsForumPs_OCS1-WRI1,ViewsForumPs_WRI1-OCS2,ViewsForumPs_OCS2-WRI2,ViewsForumC_Start-OCS1,ViewsForumC_OCS1-WRI1,ViewsForumC_WRI1-OCS2,ViewsForumC_OCS2-WRI2,ViewsForumTheStart-OCS1,ViewsForumTheOCS1-WRI1,ViewsForumTheWRI1-OCS2,ViewsForumTheOCS2-WRI2,ViewsForumTm_Start-OCS1,ViewsForumTm_OCS1-WRI1,ViewsForumTm_WRI1-OCS2,ViewsForumTm_OCS2-WRI2,ViewsNews_Start-OCS1,ViewsNews_OCS1-WRI1,ViewsNews_WRI1-OCS2,ViewsNews_OCS2-WRI2,PostsForumPs_Start-OCS1,PostsForumPs_OCS1-WRI1,PostsForumPs_WRI1-OCS2,PostsForumPs_OCS2-WRI2,PostsForumC_Start-OCS1,PostsForumC_OCS1-WRI1,PostsForumC_WRI1-OCS2,PostsForumC_OCS2-WRI2,PostsForumThe_Start-OCS1,PostsForumThe_OCS1-WRI1,PostsForumThe_WRI1-OCS2,PostsForumThe_OCS2-WRI2,PostsForumTm_Start-OCS1,PostsForumTm_OCS1-WRI1,PostsForumTm_WRI1-OCS2,PostsForumTm_OCS2-WRI2,Final
F,1,absent,absent,0,9.5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
M,2,absent,absent,7.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
M,1,absent,absent,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,8,3,6,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
M,1,absent,absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
M,2,absent,absent,5,6,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
M,1,absent,absent,1.5,0.5,1,3,1,2,0,0,1,0,0,0,0,0,0,1,1,1,1,2,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
M,1,absent,absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
M,1,absent,absent,9.5,9,0,2,3,5,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
M,1,absent,absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
M,1,absent,absent,1,0,1,2,14,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,4,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
M,1,absent,absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
F,1,absent,absent,2,0,0,7,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
F,2,absent,absent,7.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
F,1,absent,absent,0,0,0,1,0,2,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
M,2,absent,absent,7.5,7.5,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
F,1,absent,absent,1,6.5,1,1,4,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
M,1,present,present,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
M,1,present,present,7.5,8,6,6,9,25,0,0,6,5,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass
M,1,absent,absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
F,1,present,present,7,5,21,25,35,32,0,0,1,1,0,0,0,0,5,18,6,14,1,4,1,3,7,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
F,1,absent,absent,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
M,1,absent,absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
F,1,present,present,3.5,2,7,8,23,11,0,0,4,3,0,0,0,0,3,11,4,9,7,22,8,17,5,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
M,1,absent,absent,5,6.5,3,5,7,5,0,0,5,5,0,0,0,0,1,3,1,2,1,2,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
M,1,present,absent,5,7.5,6,18,5,17,0,0,5,4,0,0,0,0,4,12,4,10,2,5,2,4,9,3,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fail
F,1,present,absent,5,0,2,4,9,0,0,0,0,0,0,0,0,0,1,3,1,2,0,1,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
F,2,present,absent,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
M,1,absent,absent,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
M,2,absent,absent,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
M,2,absent,absent,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
F,1,absent,absent,0,0,6,5,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
F,1,absent,absent,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
M,1,absent,absent,2.5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
M,1,absent,absent,0,0,8,9,3,0,0,0,0,0,0,0,0,0,1,2,1,2,0,1,1,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
M,1,absent,absent,8,5,5,8,8,6,0,0,12,10,0,0,0,0,4,12,4,9,0,1,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
M,1,absent,present,9.5,9,3,4,2,12,0,0,36,32,0,0,0,0,16,52,18,40,1,3,1,2,10,3,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass
