datasets id,metric,alg,kind,score
1,f1,"Co(Extra,GBC) R = 15%",Co-train,80.478015
2,f1,"Co(Extra,GBC) R = 15%",Co-train,74.6214194
3,f1,"Co(Extra,GBC) R = 15%",Co-train,77.5215192
4,f1,"Co(Extra,GBC) R = 15%",Co-train,78.381096
5,f1,"Co(Extra,GBC) R = 15%",Co-train,82.4302135
6,f1,"Co(Extra,GBC) R = 15%",Co-train,74.1221669
7,f1,"Co(Extra,GBC) R = 15%",Co-train,79.5650174
8,f1,"Co(Extra,GBC) R = 15%",Co-train,81.6085157
9,f1,"Co(Extra,GBC) R = 15%",Co-train,80.4062277
10,f1,"Co(Extra,GBC) R = 15%",Co-train,74.6214194
11,f1,"Co(Extra,GBC) R = 15%",Co-train,84.6840498
12,f1,"Co(Extra,GBC) R = 15%",Co-train,78.1806368
13,f1,"Co(Extra,GBC) R = 15%",Co-train,80.8247622
14,f1,"Co(Extra,GBC) R = 15%",Co-train,81.6388105
15,f1,"Co(Extra,GBC) R = 15%",Co-train,79.7060537
16,f1,"Co(Extra,GBC) R = 15%",Co-train,79.914324
17,f1,"Co(Extra,GBC) R = 15%",Co-train,84.040404
18,f1,"Co(Extra,GBC) R = 15%",Co-train,85.3922356
19,f1,"Co(Extra,GBC) R = 15%",Co-train,84.6840498
20,f1,"Co(Extra,GBC) R = 15%",Co-train,84.5791246
21,f1,"Co(Extra,GBC) R = 15%",Co-train,83.5715673
22,f1,"Co(Extra,GBC) R = 15%",Co-train,81.6388105
23,f1,"Co(Extra,GBC) R = 15%",Co-train,81.9012541
24,f1,"Co(Extra,GBC) R = 15%",Co-train,83.2303523
25,f1,"Co(Extra,GBC) R = 15%",Co-train,79.2845528
26,f1,"Co(Extra,GBC) R = 15%",Co-train,78.0883534
27,f1,"Co(Extra,GBC) R = 15%",Co-train,84.8616544
28,f1,"Co(Extra,GBC) R = 15%",Co-train,83.0690537
29,f1,"Co(Extra,GBC) R = 15%",Co-train,83.5715673
30,f1,"Co(Extra,GBC) R = 15%",Co-train,83.5715673
31,f1,"Co(Extra,GBC) R = 15%",Co-train,83.5715673
32,f1,"Co(Extra,GBC) R = 15%",Co-train,89.3698376
33,f1,"Co(Extra,GBC) R = 15%",Co-train,80.8247622
34,f1,"Co(Extra,GBC) R = 15%",Co-train,83.2303523
35,f1,"Co(Extra,GBC) R = 15%",Co-train,84.6840498
36,f1,"Co(Extra,GBC) R = 15%",Co-train,83.5662651
37,f1,"Co(Extra,GBC) R = 15%",Co-train,89.5646524
38,f1,"Co(Extra,GBC) R = 15%",Co-train,79.7060537
39,f1,"Co(Extra,GBC) R = 15%",Co-train,85.5043241
40,f1,"Co(Extra,GBC) R = 15%",Co-train,86.211251
41,f1,"Co(Extra,GBC) R = 10%",Co-train,79.0123457
42,f1,"Co(Extra,GBC) R = 10%",Co-train,75.8405401
43,f1,"Co(Extra,GBC) R = 10%",Co-train,77.5215192
44,f1,"Co(Extra,GBC) R = 10%",Co-train,78.0555556
45,f1,"Co(Extra,GBC) R = 10%",Co-train,79.2845528
46,f1,"Co(Extra,GBC) R = 10%",Co-train,73.4345226
47,f1,"Co(Extra,GBC) R = 10%",Co-train,78.8063161
48,f1,"Co(Extra,GBC) R = 10%",Co-train,80.3328468
49,f1,"Co(Extra,GBC) R = 10%",Co-train,78.5401542
50,f1,"Co(Extra,GBC) R = 10%",Co-train,77.7777778
51,f1,"Co(Extra,GBC) R = 10%",Co-train,77.3116531
52,f1,"Co(Extra,GBC) R = 10%",Co-train,80.0779727
53,f1,"Co(Extra,GBC) R = 10%",Co-train,77.7732969
54,f1,"Co(Extra,GBC) R = 10%",Co-train,84.382412
55,f1,"Co(Extra,GBC) R = 10%",Co-train,74.8148148
56,f1,"Co(Extra,GBC) R = 10%",Co-train,77.4254049
57,f1,"Co(Extra,GBC) R = 10%",Co-train,86.211251
58,f1,"Co(Extra,GBC) R = 10%",Co-train,88.3461306
59,f1,"Co(Extra,GBC) R = 10%",Co-train,82.0454545
60,f1,"Co(Extra,GBC) R = 10%",Co-train,79.1364627
61,f1,"Co(Extra,GBC) R = 10%",Co-train,86.3933452
62,f1,"Co(Extra,GBC) R = 10%",Co-train,80.8247622
63,f1,"Co(Extra,GBC) R = 10%",Co-train,81.6388105
64,f1,"Co(Extra,GBC) R = 10%",Co-train,83.5715673
65,f1,"Co(Extra,GBC) R = 10%",Co-train,81.6388105
66,f1,"Co(Extra,GBC) R = 10%",Co-train,81.7402945
67,f1,"Co(Extra,GBC) R = 10%",Co-train,84.040404
68,f1,"Co(Extra,GBC) R = 10%",Co-train,87.2182062
69,f1,"Co(Extra,GBC) R = 10%",Co-train,82.769556
70,f1,"Co(Extra,GBC) R = 10%",Co-train,83.3333333
71,f1,"Co(Extra,GBC) R = 10%",Co-train,81.1878375
72,f1,"Co(Extra,GBC) R = 10%",Co-train,85.5043241
73,f1,"Co(Extra,GBC) R = 10%",Co-train,84.382412
74,f1,"Co(Extra,GBC) R = 10%",Co-train,83.5715673
75,f1,"Co(Extra,GBC) R = 10%",Co-train,81.1878375
76,f1,"Co(Extra,GBC) R = 10%",Co-train,79.1364627
77,f1,"Co(Extra,GBC) R = 10%",Co-train,83.3333333
78,f1,"Co(Extra,GBC) R = 10%",Co-train,88.3461306
79,f1,"Co(Extra,GBC) R = 10%",Co-train,79.3066212
80,f1,"Co(Extra,GBC) R = 10%",Co-train,83.9506173
81,f1,"Co(Extra,GBC) R = 2.5%",Co-train,78.0883534
82,f1,"Co(Extra,GBC) R = 2.5%",Co-train,72.5396037
83,f1,"Co(Extra,GBC) R = 2.5%",Co-train,72.6692209
84,f1,"Co(Extra,GBC) R = 2.5%",Co-train,75.9259259
85,f1,"Co(Extra,GBC) R = 2.5%",Co-train,76.2833008
86,f1,"Co(Extra,GBC) R = 2.5%",Co-train,77.3116531
87,f1,"Co(Extra,GBC) R = 2.5%",Co-train,81.370224
88,f1,"Co(Extra,GBC) R = 2.5%",Co-train,80.6957514
89,f1,"Co(Extra,GBC) R = 2.5%",Co-train,74.3859649
90,f1,"Co(Extra,GBC) R = 2.5%",Co-train,77.6427256
91,f1,"Co(Extra,GBC) R = 2.5%",Co-train,80.8550623
92,f1,"Co(Extra,GBC) R = 2.5%",Co-train,77.5215192
93,f1,"Co(Extra,GBC) R = 2.5%",Co-train,78.5401542
94,f1,"Co(Extra,GBC) R = 2.5%",Co-train,82.769556
95,f1,"Co(Extra,GBC) R = 2.5%",Co-train,79.3816157
96,f1,"Co(Extra,GBC) R = 2.5%",Co-train,79.2845528
97,f1,"Co(Extra,GBC) R = 2.5%",Co-train,86.8314862
98,f1,"Co(Extra,GBC) R = 2.5%",Co-train,83.9506173
99,f1,"Co(Extra,GBC) R = 2.5%",Co-train,78.9902517
100,f1,"Co(Extra,GBC) R = 2.5%",Co-train,79.7060537
101,f1,"Co(Extra,GBC) R = 2.5%",Co-train,79.3066212
